web_scraper_order,web_scraper_start_url,auto_link,marque_modele,annee,prix,kilometrage,boite_de_vitesse,region
"1786646501-1","https://www.gaaraas.com/electric_cars?_=1786646200315&button=&listing%5Bbrand_id%5D=&listing%5Bcar_type%5D=1&listing%5Bmaxprice%5D=160000001&listing%5Bminprice%5D=55309&page=100&utf8=%E2%9C%93","https://www.gaaraas.com/fr/vehicle_listings/annonce-jeep-grand-wagoneer-dakar-dakar-30526","Jeep Grand Wagoneer","White","8 900 000","N/A","Automatique","Dakar"
"1786646511-2","https://www.gaaraas.com/electric_cars?_=1786646200315&button=&listing%5Bbrand_id%5D=&listing%5Bcar_type%5D=1&listing%5Bmaxprice%5D=160000001&listing%5Bminprice%5D=55309&page=100&utf8=%E2%9C%93","https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-sonata-dakar-dakar-30527","Hyundai Sonata","Autre","4 000 000","N/A","Automatique","Dakar"
"1786646516-3","https://www.gaaraas.com/electric_cars?_=1786646200315&button=&listing%5Bbrand_id%5D=&listing%5Bcar_type%5D=1&listing%5Bmaxprice%5D=160000001&listing%5Bminprice%5D=55309&page=100&utf8=%E2%9C%93","https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c3-dakar-dakar-30528","Citroen C3","Autre","3 500 000","N/A","Manuelle","Dakar"
"1786646519-4","https://www.gaaraas.com/electric_cars?_=1786646200315&button=&listing%5Bbrand_id%5D=&listing%5Bcar_type%5D=1&listing%5Bmaxprice%5D=160000001&listing%5Bminprice%5D=55309&page=100&utf8=%E2%9C%93","https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-edge-dakar-dakar-30529","Ford Edge","Autre","1 900 000","N/A","Automatique","Dakar"
"1786646532-5","https://www.gaaraas.com/electric_cars?_=1786646200315&button=&listing%5Bbrand_id%5D=&listing%5Bcar_type%5D=1&listing%5Bmaxprice%5D=160000001&listing%5Bminprice%5D=55309&page=100&utf8=%E2%9C%93","https://www.gaaraas.com/fr/vehicle_listings/annonce-mercedes-benz-e200-dakar-dakar-30530","Mercedes-Benz E200","Blanc","1 700 000","N/A","Manuelle","Dakar"
"1786646537-6","https://www.gaaraas.com/electric_cars?_=1786646200315&button=&listing%5Bbrand_id%5D=&listing%5Bcar_type%5D=1&listing%5Bmaxprice%5D=160000001&listing%5Bminprice%5D=55309&page=100&utf8=%E2%9C%93","https://www.gaaraas.com/fr/vehicle_listings/annonce-mitsubishi-asx-dakar-dakar-30531","Mitsubishi ASX","Noir","7 800 000","N/A","Manuelle","Dakar"
"1786646543-7","https://www.gaaraas.com/electric_cars?_=1786646200315&button=&listing%5Bbrand_id%5D=&listing%5Bcar_type%5D=1&listing%5Bmaxprice%5D=160000001&listing%5Bminprice%5D=55309&page=100&utf8=%E2%9C%93","https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-corolla-dakar-dakar-30532","Toyota Corolla","Autre","3 500 000","N/A","Automatique","Dakar"
"1786646545-8","https://www.gaaraas.com/electric_cars?_=1786646200315&button=&listing%5Bbrand_id%5D=&listing%5Bcar_type%5D=1&listing%5Bmaxprice%5D=160000001&listing%5Bminprice%5D=55309&page=100&utf8=%E2%9C%93","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-5008-dakar-dakar-30533","Peugeot 5008","Autre","3 500 000","N/A","Manuelle","Dakar"
"1786646548-9","https://www.gaaraas.com/electric_cars?_=1786646200315&button=&listing%5Bbrand_id%5D=&listing%5Bcar_type%5D=1&listing%5Bmaxprice%5D=160000001&listing%5Bminprice%5D=55309&page=100&utf8=%E2%9C%93","https://www.gaaraas.com/fr/vehicle_listings/annonce-nissan-qashqai-dakar-dakar-30534","Nissan Qashqai","Autre","2 650 000","N/A","Manuelle","Dakar"
"1786646556-10","https://www.gaaraas.com/electric_cars?_=1786646200315&button=&listing%5Bbrand_id%5D=&listing%5Bcar_type%5D=1&listing%5Bmaxprice%5D=160000001&listing%5Bminprice%5D=55309&page=100&utf8=%E2%9C%93","https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-avante-dakar-dakar-30535","Hyundai Avante","Autre","5 200 000","N/A","Automatique","Dakar"
"1786646561-11","https://www.gaaraas.com/electric_cars?_=1786646200315&button=&listing%5Bbrand_id%5D=&listing%5Bcar_type%5D=1&listing%5Bmaxprice%5D=160000001&listing%5Bminprice%5D=55309&page=100&utf8=%E2%9C%93","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-30536","Peugeot 308","Autre","3 950 000","N/A","Manuelle","Dakar"
"1786646563-12","https://www.gaaraas.com/electric_cars?_=1786646200315&button=&listing%5Bbrand_id%5D=&listing%5Bcar_type%5D=1&listing%5Bmaxprice%5D=160000001&listing%5Bminprice%5D=55309&page=100&utf8=%E2%9C%93","https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-tucson-dakar-dakar-30537","Hyundai Tucson","Blanc","4 500 000","N/A","Automatique","Dakar"
"1786646566-13","https://www.gaaraas.com/electric_cars?_=1786646200315&button=&listing%5Bbrand_id%5D=&listing%5Bcar_type%5D=1&listing%5Bmaxprice%5D=160000001&listing%5Bminprice%5D=55309&page=100&utf8=%E2%9C%93","https://www.gaaraas.com/fr/vehicle_listings/annonce-mini-cooper-s-clubman-dakar-dakar-30538","Mini Cooper S clubman","Noir","4 950 000","N/A","Automatique","Dakar"
"1786646568-14","https://www.gaaraas.com/electric_cars?_=1786646200315&button=&listing%5Bbrand_id%5D=&listing%5Bcar_type%5D=1&listing%5Bmaxprice%5D=160000001&listing%5Bminprice%5D=55309&page=100&utf8=%E2%9C%93","https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-escape-dakar-dakar-30539","Ford Escape","Noir","2 350 000","N/A","Automatique","Dakar"
"1786646571-15","https://www.gaaraas.com/electric_cars?_=1786646200315&button=&listing%5Bbrand_id%5D=&listing%5Bcar_type%5D=1&listing%5Bmaxprice%5D=160000001&listing%5Bminprice%5D=55309&page=100&utf8=%E2%9C%93","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-5008-dakar-dakar-30540","Peugeot 5008","Autre","3 500 000","N/A","Manuelle","Dakar"
"1786646573-16","https://www.gaaraas.com/electric_cars?_=1786646200315&button=&listing%5Bbrand_id%5D=&listing%5Bcar_type%5D=1&listing%5Bmaxprice%5D=160000001&listing%5Bminprice%5D=55309&page=100&utf8=%E2%9C%93","https://www.gaaraas.com/fr/vehicle_listings/annonce-dodge-challenger-dakar-dakar-30541","Dodge Challenger","Autre","6 500 000","N/A","Automatique","Dakar"
"1786646577-17","https://www.gaaraas.com/electric_cars?_=1786646200315&button=&listing%5Bbrand_id%5D=&listing%5Bcar_type%5D=1&listing%5Bmaxprice%5D=160000001&listing%5Bminprice%5D=55309&page=100&utf8=%E2%9C%93","https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-sandero-rs-dakar-dakar-30542","Renault Sandero RS","Blanc","7 700 000","N/A","Automatique","Dakar"
"1786646580-18","https://www.gaaraas.com/electric_cars?_=1786646200315&button=&listing%5Bbrand_id%5D=&listing%5Bcar_type%5D=1&listing%5Bmaxprice%5D=160000001&listing%5Bminprice%5D=55309&page=100&utf8=%E2%9C%93","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-3008-dakar-dakar-30543","Peugeot 3008","Autre","15 500 000","N/A","Automatique","Dakar"
